401 Q0 LA030690-0168   1 14.347982 z22shaikAND
412 Q0 LA041089-0024  63  9.194893 z22shaikAND
412 Q0 LA012790-0055  64  9.149909 z22shaikAND
412 Q0 LA111890-0129  65  9.086034 z22shaikAND
412 Q0 LA052889-0182  66  9.074810 z22shaikAND
412 Q0 LA010889-0166  67  9.064571 z22shaikAND
412 Q0 LA020789-0152  68  9.043209 z22shaikAND
412 Q0 LA072190-0073  69  9.034628 z22shaikAND
412 Q0 LA090690-0054  70  9.030185 z22shaikAND
412 Q0 LA031689-0212  71  9.019543 z22shaikAND
412 Q0 LA040590-0165  72  9.001593 z22shaikAND
412 Q0 LA091690-0195  73  8.999699 z22shaikAND
412 Q0 LA080589-0053  74  8.979390 z22shaikAND
412 Q0 LA010690-0076  75  8.969228 z22shaikAND
412 Q0 LA122289-0117  76  8.943279 z22shaikAND
412 Q0 LA040589-0125  77  8.918126 z22shaikAND
412 Q0 LA111590-0170  78  8.883226 z22shaikAND
412 Q0 LA050189-0003  79  8.865617 z22shaikAND
412 Q0 LA040389-0094  80  8.855388 z22shaikAND
412 Q0 LA091890-0076  81  8.843260 z22shaikAND
412 Q0 LA051390-0090  82  8.837648 z22shaikAND
412 Q0 LA041790-0057  83  8.784646 z22shaikAND
412 Q0 LA052189-0162  84  8.728297 z22shaikAND
412 Q0 LA101089-0122  85  8.726814 z22shaikAND
412 Q0 LA080590-0062  86  8.701129 z22shaikAND
412 Q0 LA020790-0034  87  8.678252 z22shaikAND
412 Q0 LA112689-0141  88  8.670597 z22shaikAND
412 Q0 LA050590-0082  89  8.651757 z22shaikAND
412 Q0 LA022589-0137  90  8.622742 z22shaikAND
412 Q0 LA081889-0018  91  8.620376 z22shaikAND
412 Q0 LA090590-0102  92  8.593840 z22shaikAND
412 Q0 LA080790-0159  93  8.593772 z22shaikAND
412 Q0 LA062089-0038  94  8.560449 z22shaikAND
412 Q0 LA112790-0160  95  8.556130 z22shaikAND
412 Q0 LA091590-0122  96  8.555830 z22shaikAND
412 Q0 LA021989-0181  97  8.531245 z22shaikAND
412 Q0 LA071089-0046  98  8.494155 z22shaikAND
412 Q0 LA071190-0032  99  8.465067 z22shaikAND
412 Q0 LA060790-0181 100  8.418747 z22shaikAND
413 Q0 LA012689-0155   1 12.687190 z22shaikAND
413 Q0 LA021489-0160   2 12.503971 z22shaikAND
413 Q0 LA011789-0094   3 12.141757 z22shaikAND
413 Q0 LA080489-0121   4 12.111909 z22shaikAND
413 Q0 LA112089-0039   5 12.067345 z22shaikAND
413 Q0 LA042489-0035   6 11.918132 z22shaikAND
413 Q0 LA111689-0141   7 11.856596 z22shaikAND
413 Q0 LA031189-0033   8 11.740512 z22shaikAND
413 Q0 LA040989-0083   9 11.441099 z22shaikAND
413 Q0 LA010990-0078  10 11.440043 z22shaikAND
413 Q0 LA032789-0068  11 11.430644 z22shaikAND
413 Q0 LA061290-0124  12 11.400578 z22shaikAND
413 Q0 LA110890-0206  13 11.330331 z22shaikAND
413 Q0 LA031389-0012  14 11.214613 z22shaikAND
413 Q0 LA062890-0238  15 11.166012 z22shaikAND
413 Q0 LA061289-0029  16 11.114776 z22shaikAND
413 Q0 LA070389-0053  17 11.085181 z22shaikAND
413 Q0 LA011190-0199  18 11.016907 z22shaikAND
413 Q0 LA013190-0100  19 10.797738 z22shaikAND
413 Q0 LA101390-0045  20 10.797738 z22shaikAND
413 Q0 LA062090-0133  21 10.795913 z22shaikAND
413 Q0 LA121289-0144  22 10.713265 z22shaikAND
413 Q0 LA012589-0135  23 10.200408 z22shaikAND
413 Q0 LA050789-0225  24 10.162644 z22shaikAND
413 Q0 LA031890-0017  25 10.084919 z22shaikAND
413 Q0 LA061690-0047  26 10.013146 z22shaikAND
413 Q0 LA020490-0102  27  9.950468 z22shaikAND
413 Q0 LA020890-0086  28  9.880029 z22shaikAND
413 Q0 LA042389-0154  29  9.843534 z22shaikAND
413 Q0 LA060590-0189  30  9.823003 z22shaikAND
413 Q0 LA013190-0091  31  9.820333 z22shaikAND
413 Q0 LA102689-0065  32  9.756847 z22shaikAND
413 Q0 LA032790-0032  33  9.745946 z22shaikAND
413 Q0 LA110189-0085  34  9.745044 z22shaikAND
413 Q0 LA010389-0011  35  9.709807 z22shaikAND
413 Q0 LA100890-0019  36  9.663788 z22shaikAND
413 Q0 LA102690-0040  37  9.663218 z22shaikAND
413 Q0 LA072489-0011  38  9.628569 z22shaikAND
413 Q0 LA101889-0156  39  9.624704 z22shaikAND
413 Q0 LA072889-0017  40  9.583209 z22shaikAND
413 Q0 LA072090-0082  41  9.560011 z22shaikAND
413 Q0 LA121789-0026  42  9.521328 z22shaikAND
413 Q0 LA070989-0132  43  9.489768 z22shaikAND
413 Q0 LA020290-0169  44  9.392812 z22shaikAND
413 Q0 LA070990-0102  45  9.288127 z22shaikAND
413 Q0 LA020890-0237  46  9.220256 z22shaikAND
413 Q0 LA092889-0067  47  9.141710 z22shaikAND
413 Q0 LA120689-0150  48  9.065155 z22shaikAND
413 Q0 LA043090-0090  49  8.973376 z22shaikAND
413 Q0 LA021689-0022  50  8.943150 z22shaikAND
413 Q0 LA122890-0092  51  8.871805 z22shaikAND
413 Q0 LA111589-0046  52  8.858297 z22shaikAND
413 Q0 LA100190-0121  53  8.847315 z22shaikAND
413 Q0 LA070689-0039  54  8.831167 z22shaikAND
413 Q0 LA082489-0078  55  8.822352 z22shaikAND
413 Q0 LA072689-0111  56  8.720193 z22shaikAND
413 Q0 LA031190-0090  57  8.692378 z22shaikAND
413 Q0 LA011390-0033  58  8.689549 z22shaikAND
413 Q0 LA021190-0014  59  8.675931 z22shaikAND
413 Q0 LA010490-0052  60  8.667730 z22shaikAND
413 Q0 LA052390-0098  61  8.665620 z22shaikAND
413 Q0 LA080690-0108  62  8.654230 z22shaikAND
413 Q0 LA050489-0009  63  8.619506 z22shaikAND
413 Q0 LA120689-0105  64  8.607899 z22shaikAND
413 Q0 LA121489-0247  65  8.562998 z22shaikAND
413 Q0 LA013090-0001  66  8.539071 z22shaikAND
413 Q0 LA072490-0028  67  8.527575 z22shaikAND
413 Q0 LA052689-0054  68  8.522354 z22shaikAND
413 Q0 LA042989-0105  69  8.468959 z22shaikAND
413 Q0 LA112089-0080  70  8.467559 z22shaikAND
413 Q0 LA082190-0052  71  8.453348 z22shaikAND
413 Q0 LA020189-0152  72  8.409870 z22shaikAND
413 Q0 LA030890-0183  73  8.404067 z22shaikAND
413 Q0 LA041589-0132  74  8.354930 z22shaikAND
413 Q0 LA041490-0117  75  8.329497 z22shaikAND
413 Q0 LA072690-0064  76  8.326824 z22shaikAND
413 Q0 LA012089-0021  77  8.321614 z22shaikAND
413 Q0 LA112389-0142  78  8.321445 z22shaikAND
413 Q0 LA010589-0102  79  8.311636 z22shaikAND
413 Q0 LA121990-0129  80  8.300417 z22shaikAND
413 Q0 LA090489-0043  81  8.295050 z22shaikAND
413 Q0 LA020889-0060  82  8.277679 z22shaikAND
413 Q0 LA051489-0196  83  8.276889 z22shaikAND
413 Q0 LA042990-0184  84  8.267235 z22shaikAND
413 Q0 LA040690-0140  85  8.265556 z22shaikAND
413 Q0 LA021590-0229  86  8.250662 z22shaikAND
413 Q0 LA103190-0091  87  8.240762 z22shaikAND
413 Q0 LA060489-0104  88  8.239984 z22shaikAND
413 Q0 LA092489-0158  89  8.239923 z22shaikAND
413 Q0 LA101589-0053  90  8.233030 z22shaikAND
413 Q0 LA013090-0177  91  8.228361 z22shaikAND
413 Q0 LA110790-0055  92  8.217286 z22shaikAND
413 Q0 LA020889-0059  93  8.213966 z22shaikAND
413 Q0 LA050389-0140  94  8.209223 z22shaikAND
413 Q0 LA102789-0047  95  8.197996 z22shaikAND
413 Q0 LA092089-0148  96  8.178319 z22shaikAND
413 Q0 LA042090-0169  97  8.159182 z22shaikAND
413 Q0 LA032490-0074  98  8.152823 z22shaikAND
413 Q0 LA080590-0220  99  8.143669 z22shaikAND
413 Q0 LA100189-0080 100  8.140232 z22shaikAND
414 Q0 LA040590-0222   1 27.227183 z22shaikAND
414 Q0 LA061890-0107   2 25.331374 z22shaikAND
414 Q0 LA093090-0185   3 21.588324 z22shaikAND
414 Q0 LA050690-0129   4 19.369904 z22shaikAND
414 Q0 LA052590-0187   5 18.844852 z22shaikAND
414 Q0 LA060189-0104   6 17.565348 z22shaikAND
414 Q0 LA012290-0106   7 17.373666 z22shaikAND
414 Q0 LA052190-0030   8 15.084508 z22shaikAND
414 Q0 LA071290-0161   9 14.992684 z22shaikAND
414 Q0 LA102489-0092  10 14.855532 z22shaikAND
414 Q0 LA040489-0051  11 14.569079 z22shaikAND
414 Q0 LA031490-0104  12 14.546798 z22shaikAND
414 Q0 LA071290-0223  13 14.535073 z22shaikAND
414 Q0 LA071490-0083  14 14.362775 z22shaikAND
414 Q0 LA022790-0098  15 14.108141 z22shaikAND
414 Q0 LA071489-0020  16 13.867905 z22shaikAND
414 Q0 LA110889-0101  17 13.489943 z22shaikAND
414 Q0 LA102190-0221  18 13.395524 z22shaikAND
414 Q0 LA030290-0070  19 13.207420 z22shaikAND
414 Q0 LA081390-0007  20 12.853999 z22shaikAND
414 Q0 LA020690-0102  21 12.607367 z22shaikAND
414 Q0 LA033189-0095  22 12.492658 z22shaikAND
414 Q0 LA080590-0066  23 12.464817 z22shaikAND
414 Q0 LA080290-0241  24 12.363360 z22shaikAND
414 Q0 LA080390-0190  25 12.358745 z22shaikAND
414 Q0 LA011090-0153  26 12.176402 z22shaikAND
414 Q0 LA040890-0212  27 12.133703 z22shaikAND
414 Q0 LA040890-0200  28 12.131183 z22shaikAND
414 Q0 LA040890-0213  29 12.131183 z22shaikAND
414 Q0 LA040890-0217  30 12.131183 z22shaikAND
414 Q0 LA061690-0015  31 11.787233 z22shaikAND
414 Q0 LA042090-0161  32 11.628940 z22shaikAND
414 Q0 LA051190-0001  33 11.450993 z22shaikAND
414 Q0 LA010189-0047  34 11.413763 z22shaikAND
414 Q0 LA040890-0244  35 11.364853 z22shaikAND
414 Q0 LA101889-0158  36 11.303037 z22shaikAND
414 Q0 LA090389-0110  37 11.271185 z22shaikAND
414 Q0 LA071490-0087  38 11.221295 z22shaikAND
414 Q0 LA022190-0071  39 11.077747 z22shaikAND
414 Q0 LA081690-0063  40 11.001805 z22shaikAND
414 Q0 LA042390-0039  41 10.919774 z22shaikAND
414 Q0 LA080890-0063  42 10.889831 z22shaikAND
414 Q0 LA091189-0042  43 10.889316 z22shaikAND
414 Q0 LA091489-0221  44 10.861864 z22shaikAND
414 Q0 LA010990-0089  45 10.858209 z22shaikAND
414 Q0 LA072990-0070  46 10.853356 z22shaikAND
414 Q0 LA012590-0233  47 10.849106 z22shaikAND
414 Q0 LA012690-0096  48 10.789040 z22shaikAND
414 Q0 LA072990-0056  49 10.777687 z22shaikAND
414 Q0 LA040990-0104  50 10.768998 z22shaikAND
414 Q0 LA070690-0037  51 10.736796 z22shaikAND
414 Q0 LA040489-0016  52 10.735940 z22shaikAND
414 Q0 LA052790-0065  53 10.726490 z22shaikAND
414 Q0 LA052190-0144  54 10.724257 z22shaikAND
414 Q0 LA121390-0252  55 10.694190 z22shaikAND
414 Q0 LA120689-0144  56 10.690065 z22shaikAND
414 Q0 LA062490-0141  57 10.613842 z22shaikAND
414 Q0 LA100189-0101  58 10.604276 z22shaikAND
414 Q0 LA111989-0077  59 10.584388 z22shaikAND
414 Q0 LA112390-0093  60 10.572741 z22shaikAND
414 Q0 LA032290-0240  61 10.562186 z22shaikAND
414 Q0 LA101490-0033  62 10.553253 z22shaikAND
414 Q0 LA112489-0044  63 10.505113 z22shaikAND
414 Q0 LA091489-0153  64 10.492862 z22shaikAND
414 Q0 LA030890-0159  65 10.482278 z22shaikAND
414 Q0 LA032089-0034  66 10.466441 z22shaikAND
414 Q0 LA071889-0118  67 10.451188 z22shaikAND
414 Q0 LA052790-0176  68 10.446684 z22shaikAND
414 Q0 LA083190-0162  69 10.434910 z22shaikAND
414 Q0 LA063089-0061  70 10.432692 z22shaikAND
414 Q0 LA032390-0073  71 10.429674 z22shaikAND
414 Q0 LA091889-0030  72 10.367637 z22shaikAND
414 Q0 LA011589-0133  73 10.364909 z22shaikAND
414 Q0 LA082490-0041  74 10.358397 z22shaikAND
414 Q0 LA040390-0119  75 10.349567 z22shaikAND
414 Q0 LA062589-0161  76 10.346597 z22shaikAND
414 Q0 LA122090-0174  77 10.345158 z22shaikAND
414 Q0 LA090989-0117  78 10.341449 z22shaikAND
414 Q0 LA072789-0081  79 10.336830 z22shaikAND
414 Q0 LA041889-0005  80 10.326034 z22shaikAND
414 Q0 LA041989-0075  81 10.326034 z22shaikAND
414 Q0 LA021889-0043  82 10.318426 z22shaikAND
414 Q0 LA062989-0196  83 10.292988 z22shaikAND
414 Q0 LA052190-0069  84 10.259766 z22shaikAND
414 Q0 LA082690-0111  85 10.259117 z22shaikAND
414 Q0 LA060890-0082  86 10.254317 z22shaikAND
414 Q0 LA080790-0078  87 10.254317 z22shaikAND
414 Q0 LA072790-0054  88 10.231346 z22shaikAND
414 Q0 LA071389-0100  89 10.217087 z22shaikAND
414 Q0 LA012989-0149  90 10.203965 z22shaikAND
414 Q0 LA062990-0171  91 10.174761 z22shaikAND
414 Q0 LA041590-0035  92 10.164746 z22shaikAND
414 Q0 LA010490-0166  93 10.157504 z22shaikAND
414 Q0 LA012589-0073  94 10.147904 z22shaikAND
414 Q0 LA021590-0219  95 10.122392 z22shaikAND
414 Q0 LA033090-0077  96 10.068033 z22shaikAND
414 Q0 LA091790-0119  97 10.061095 z22shaikAND
414 Q0 LA042690-0136  98 10.050740 z22shaikAND
414 Q0 LA102690-0055  99 10.017081 z22shaikAND
414 Q0 LA102690-0022 100 10.009844 z22shaikAND
415 Q0 LA121690-0051   1 19.749462 z22shaikAND
415 Q0 LA082589-0115   2 16.564372 z22shaikAND
415 Q0 LA041290-0075   3 16.315714 z22shaikAND
415 Q0 LA113089-0029   4 15.676098 z22shaikAND
415 Q0 LA010990-0058   5 15.532405 z22shaikAND
415 Q0 LA011190-0101   6 15.351484 z22shaikAND
415 Q0 LA041990-0049   7 15.351484 z22shaikAND
415 Q0 LA091689-0063   8 15.179741 z22shaikAND
415 Q0 LA070590-0115   9 15.174728 z22shaikAND
415 Q0 LA043090-0142  10 14.913168 z22shaikAND
415 Q0 LA040989-0114  11 14.228199 z22shaikAND
415 Q0 LA030589-0169  12 13.797876 z22shaikAND
415 Q0 LA030990-0061  13 13.485071 z22shaikAND
415 Q0 LA031089-0095  14 13.360606 z22shaikAND
415 Q0 LA030589-0044  15 13.151372 z22shaikAND
415 Q0 LA071390-0032  16 13.036154 z22shaikAND
415 Q0 LA092090-0024  17 12.943163 z22shaikAND
415 Q0 LA120990-0004  18 12.308787 z22shaikAND
415 Q0 LA010189-0079  19 12.067529 z22shaikAND
415 Q0 LA011389-0166  20 11.822535 z22shaikAND
415 Q0 LA081990-0211  21 11.707703 z22shaikAND
415 Q0 LA011689-0070  22 11.616944 z22shaikAND
415 Q0 LA122989-0153  23 11.527963 z22shaikAND
415 Q0 LA022689-0021  24 11.475900 z22shaikAND
415 Q0 LA110390-0158  25 11.437687 z22shaikAND
415 Q0 LA032490-0106  26 11.344318 z22shaikAND
415 Q0 LA052789-0116  27 11.315961 z22shaikAND
415 Q0 LA112789-0028  28 11.196526 z22shaikAND
415 Q0 LA022290-0200  29 11.130651 z22shaikAND
415 Q0 LA111989-0211  30 11.096245 z22shaikAND
415 Q0 LA022589-0102  31 11.045910 z22shaikAND
415 Q0 LA020990-0202  32 10.980606 z22shaikAND
415 Q0 LA081489-0112  33 10.960878 z22shaikAND
415 Q0 LA070690-0057  34 10.910776 z22shaikAND
415 Q0 LA070290-0110  35 10.753275 z22shaikAND
415 Q0 LA120589-0170  36 10.657687 z22shaikAND
415 Q0 LA011989-0182  37 10.554609 z22shaikAND
415 Q0 LA013089-0064  38 10.536764 z22shaikAND
415 Q0 LA033090-0133  39 10.536513 z22shaikAND
415 Q0 LA011789-0031  40 10.453785 z22shaikAND
415 Q0 LA080489-0040  41 10.447154 z22shaikAND
415 Q0 LA092990-0128  42 10.426423 z22shaikAND
415 Q0 LA042390-0026  43 10.421019 z22shaikAND
415 Q0 LA071390-0144  44 10.225335 z22shaikAND
415 Q0 LA062290-0045  45 10.217426 z22shaikAND
415 Q0 LA091789-0110  46 10.146202 z22shaikAND
415 Q0 LA100490-0068  47 10.122248 z22shaikAND
415 Q0 LA020389-0092  48 10.118564 z22shaikAND
415 Q0 LA012689-0219  49 10.099872 z22shaikAND
415 Q0 LA021690-0076  50  9.992130 z22shaikAND
415 Q0 LA083189-0124  51  9.987110 z22shaikAND
415 Q0 LA100589-0147  52  9.860574 z22shaikAND
415 Q0 LA030789-0093  53  9.811554 z22shaikAND
415 Q0 LA073090-0027  54  9.790087 z22shaikAND
415 Q0 LA021689-0021  55  9.781384 z22shaikAND
415 Q0 LA070190-0059  56  9.778949 z22shaikAND
415 Q0 LA100389-0056  57  9.741831 z22shaikAND
415 Q0 LA010189-0006  58  9.682445 z22shaikAND
415 Q0 LA081989-0079  59  9.662821 z22shaikAND
415 Q0 LA031589-0045  60  9.628333 z22shaikAND
415 Q0 LA121889-0127  61  9.615227 z22shaikAND
415 Q0 LA050290-0151  62  9.553405 z22shaikAND
415 Q0 LA093089-0009  63  9.519140 z22shaikAND
415 Q0 LA040289-0103  64  9.511949 z22shaikAND
415 Q0 LA041290-0072  65  9.477629 z22shaikAND
415 Q0 LA040689-0106  66  9.473435 z22shaikAND
415 Q0 LA060289-0029  67  9.451686 z22shaikAND
415 Q0 LA070990-0119  68  9.357405 z22shaikAND
415 Q0 LA040189-0026  69  9.357000 z22shaikAND
415 Q0 LA081889-0145  70  9.309644 z22shaikAND
415 Q0 LA051790-0047  71  9.161861 z22shaikAND
415 Q0 LA112689-0013  72  9.153220 z22shaikAND
415 Q0 LA012690-0167  73  9.104526 z22shaikAND
415 Q0 LA090690-0119  74  9.102636 z22shaikAND
415 Q0 LA051290-0120  75  9.079150 z22shaikAND
415 Q0 LA032690-0004  76  9.031491 z22shaikAND
415 Q0 LA040489-0106  77  9.015287 z22shaikAND
415 Q0 LA100190-0112  78  8.959073 z22shaikAND
415 Q0 LA081889-0061  79  8.800897 z22shaikAND
415 Q0 LA111090-0106  80  8.780741 z22shaikAND
415 Q0 LA102589-0030  81  8.760923 z22shaikAND
415 Q0 LA110290-0199  82  8.741384 z22shaikAND
415 Q0 LA020989-0010  83  8.733737 z22shaikAND
415 Q0 LA021289-0128  84  8.685541 z22shaikAND
415 Q0 LA081989-0033  85  8.670223 z22shaikAND
415 Q0 LA090989-0118  86  8.666694 z22shaikAND
415 Q0 LA011189-0048  87  8.632101 z22shaikAND
415 Q0 LA052090-0214  88  8.578752 z22shaikAND
415 Q0 LA041089-0026  89  8.550887 z22shaikAND
415 Q0 LA011089-0084  90  8.532957 z22shaikAND
415 Q0 LA032090-0016  91  8.514147 z22shaikAND
415 Q0 LA021890-0015  92  8.513401 z22shaikAND
415 Q0 LA102289-0059  93  8.462926 z22shaikAND
415 Q0 LA082690-0059  94  8.422776 z22shaikAND
415 Q0 LA122490-0007  95  8.397921 z22shaikAND
415 Q0 LA040689-0165  96  8.379701 z22shaikAND
415 Q0 LA050589-0174  97  8.360120 z22shaikAND
415 Q0 LA121989-0037  98  8.349402 z22shaikAND
415 Q0 LA032689-0040  99  8.342415 z22shaikAND
415 Q0 LA031689-0057 100  8.341348 z22shaikAND
417 Q0 LA092989-0114   1  8.299351 z22shaikAND
417 Q0 LA092989-0098   2  8.236952 z22shaikAND
417 Q0 LA093089-0065   3  8.137441 z22shaikAND
417 Q0 LA101489-0015   4  7.836223 z22shaikAND
417 Q0 LA082990-0115   5  7.771061 z22shaikAND
417 Q0 LA093090-0112   6  7.737504 z22shaikAND
417 Q0 LA072990-0201   7  7.727453 z22shaikAND
417 Q0 LA091789-0163   8  7.685198 z22shaikAND
417 Q0 LA070789-0097   9  7.604416 z22shaikAND
417 Q0 LA010990-0070  10  7.525309 z22shaikAND
417 Q0 LA053190-0002  11  7.498035 z22shaikAND
417 Q0 LA091489-0178  12  7.469566 z22shaikAND
417 Q0 LA061290-0132  13  7.449343 z22shaikAND
417 Q0 LA061789-0140  14  7.439650 z22shaikAND
417 Q0 LA061290-0155  15  7.405344 z22shaikAND
417 Q0 LA122289-0125  16  7.303211 z22shaikAND
417 Q0 LA100790-0126  17  7.273122 z22shaikAND
417 Q0 LA092890-0064  18  7.257968 z22shaikAND
417 Q0 LA112089-0015  19  7.239472 z22shaikAND
417 Q0 LA021990-0084  20  7.236942 z22shaikAND
417 Q0 LA070290-0106  21  7.216428 z22shaikAND
417 Q0 LA092689-0070  22  7.206215 z22shaikAND
417 Q0 LA121489-0230  23  7.175749 z22shaikAND
417 Q0 LA080589-0029  24  7.170696 z22shaikAND
417 Q0 LA061090-0238  25  7.136137 z22shaikAND
417 Q0 LA081290-0112  26  7.112522 z22shaikAND
417 Q0 LA021590-0028  27  7.099300 z22shaikAND
417 Q0 LA011590-0102  28  7.082841 z22shaikAND
417 Q0 LA071790-0054  29  7.075161 z22shaikAND
417 Q0 LA041689-0156  30  7.072353 z22shaikAND
417 Q0 LA031690-0080  31  7.046374 z22shaikAND
417 Q0 LA090989-0022  32  7.032053 z22shaikAND
417 Q0 LA060790-0212  33  7.018107 z22shaikAND
417 Q0 LA033090-0133  34  6.998716 z22shaikAND
417 Q0 LA120890-0096  35  6.998593 z22shaikAND
417 Q0 LA010689-0154  36  6.994411 z22shaikAND
417 Q0 LA072490-0087  37  6.993420 z22shaikAND
417 Q0 LA071990-0036  38  6.955572 z22shaikAND
417 Q0 LA050890-0097  39  6.951991 z22shaikAND
417 Q0 LA030690-0151  40  6.919127 z22shaikAND
417 Q0 LA070890-0075  41  6.912957 z22shaikAND
417 Q0 LA120790-0154  42  6.852250 z22shaikAND
417 Q0 LA112589-0072  43  6.838867 z22shaikAND
417 Q0 LA100890-0039  44  6.838680 z22shaikAND
417 Q0 LA020990-0153  45  6.790042 z22shaikAND
417 Q0 LA021589-0047  46  6.772211 z22shaikAND
417 Q0 LA122590-0055  47  6.769764 z22shaikAND
417 Q0 LA021390-0115  48  6.765066 z22shaikAND
417 Q0 LA120989-0103  49  6.757004 z22shaikAND
417 Q0 LA082289-0042  50  6.756089 z22shaikAND
417 Q0 LA081190-0040  51  6.754016 z22shaikAND
417 Q0 LA061689-0103  52  6.734434 z22shaikAND
417 Q0 LA072089-0124  53  6.734434 z22shaikAND
417 Q0 LA032390-0050  54  6.732171 z22shaikAND
417 Q0 LA012790-0155  55  6.706571 z22shaikAND
417 Q0 LA032390-0106  56  6.702728 z22shaikAND
417 Q0 LA111190-0149  57  6.658900 z22shaikAND
417 Q0 LA032890-0034  58  6.650203 z22shaikAND
417 Q0 LA062389-0117  59  6.646527 z22shaikAND
417 Q0 LA022390-0065  60  6.624248 z22shaikAND
417 Q0 LA112489-0082  61  6.621686 z22shaikAND
417 Q0 LA071990-0064  62  6.617997 z22shaikAND
417 Q0 LA071889-0036  63  6.615642 z22shaikAND
417 Q0 LA020689-0014  64  6.582088 z22shaikAND
417 Q0 LA110690-0029  65  6.572941 z22shaikAND
417 Q0 LA082690-0021  66  6.539818 z22shaikAND
417 Q0 LA070890-0148  67  6.531430 z22shaikAND
417 Q0 LA040990-0021  68  6.530789 z22shaikAND
417 Q0 LA100790-0251  69  6.520390 z22shaikAND
417 Q0 LA103190-0087  70  6.514929 z22shaikAND
417 Q0 LA111289-0211  71  6.514079 z22shaikAND
417 Q0 LA051689-0156  72  6.489174 z22shaikAND
417 Q0 LA010790-0024  73  6.472676 z22shaikAND
417 Q0 LA101289-0091  74  6.452796 z22shaikAND
417 Q0 LA021789-0020  75  6.440553 z22shaikAND
417 Q0 LA051089-0095  76  6.399461 z22shaikAND
417 Q0 LA051089-0148  77  6.380028 z22shaikAND
417 Q0 LA071689-0116  78  6.376034 z22shaikAND
417 Q0 LA122090-0106  79  6.359498 z22shaikAND
417 Q0 LA012089-0059  80  6.356136 z22shaikAND
417 Q0 LA080789-0082  81  6.348211 z22shaikAND
417 Q0 LA062290-0047  82  6.343038 z22shaikAND
417 Q0 LA021489-0055  83  6.327884 z22shaikAND
417 Q0 LA101490-0092  84  6.327884 z22shaikAND
417 Q0 LA061090-0142  85  6.321097 z22shaikAND
417 Q0 LA090990-0017  86  6.304380 z22shaikAND
417 Q0 LA032190-0015  87  6.301076 z22shaikAND
417 Q0 LA040589-0014  88  6.281050 z22shaikAND
417 Q0 LA031990-0012  89  6.273311 z22shaikAND
417 Q0 LA032489-0096  90  6.268078 z22shaikAND
417 Q0 LA053190-0013  91  6.220252 z22shaikAND
417 Q0 LA070390-0111  92  6.200107 z22shaikAND
417 Q0 LA102789-0172  93  6.194058 z22shaikAND
417 Q0 LA030690-0159  94  6.189134 z22shaikAND
417 Q0 LA111189-0110  95  6.183972 z22shaikAND
417 Q0 LA021289-0005  96  6.181915 z22shaikAND
417 Q0 LA060989-0043  97  6.174418 z22shaikAND
417 Q0 LA030690-0115  98  6.169138 z22shaikAND
417 Q0 LA011490-0010  99  6.166940 z22shaikAND
417 Q0 LA121189-0061 100  6.162725 z22shaikAND
418 Q0 LA102189-0167   1 13.716227 z22shaikAND
418 Q0 LA051889-0088   2 13.705175 z22shaikAND
418 Q0 LA081189-0137   3 13.558363 z22shaikAND
418 Q0 LA060890-0112   4 13.264626 z22shaikAND
418 Q0 LA102890-0220   5 12.835842 z22shaikAND
418 Q0 LA060890-0107   6 12.831649 z22shaikAND
418 Q0 LA091890-0165   7 12.816524 z22shaikAND
418 Q0 LA072589-0049   8 12.574441 z22shaikAND
418 Q0 LA100990-0120   9 12.545671 z22shaikAND
418 Q0 LA022490-0006  10 12.197572 z22shaikAND
418 Q0 LA121389-0163  11 11.380932 z22shaikAND
418 Q0 LA012690-0047  12 10.931105 z22shaikAND
418 Q0 LA032289-0006  13 10.635303 z22shaikAND
418 Q0 LA092290-0130  14 10.609502 z22shaikAND
418 Q0 LA122390-0218  15 10.288271 z22shaikAND
418 Q0 LA062689-0078  16 10.247737 z22shaikAND
418 Q0 LA092889-0214  17 10.167099 z22shaikAND
418 Q0 LA080690-0005  18  9.929571 z22shaikAND
418 Q0 LA080990-0204  19  9.884735 z22shaikAND
418 Q0 LA021989-0211  20  9.844807 z22shaikAND
418 Q0 LA032890-0122  21  9.629456 z22shaikAND
418 Q0 LA101689-0075  22  9.559083 z22shaikAND
418 Q0 LA092590-0121  23  9.454836 z22shaikAND
418 Q0 LA052889-0014  24  9.388142 z22shaikAND
418 Q0 LA090290-0153  25  9.360506 z22shaikAND
418 Q0 LA011190-0156  26  9.270745 z22shaikAND
418 Q0 LA041290-0191  27  9.260218 z22shaikAND
418 Q0 LA113090-0142  28  9.255767 z22shaikAND
418 Q0 LA112489-0119  29  9.070464 z22shaikAND
418 Q0 LA041089-0028  30  8.915996 z22shaikAND
418 Q0 LA091490-0151  31  8.792016 z22shaikAND
418 Q0 LA113090-0138  32  8.766812 z22shaikAND
418 Q0 LA030790-0139  33  8.754264 z22shaikAND
418 Q0 LA121589-0061  34  8.678783 z22shaikAND
418 Q0 LA050290-0141  35  8.652399 z22shaikAND
418 Q0 LA120190-0060  36  8.587395 z22shaikAND
418 Q0 LA040190-0009  37  8.524560 z22shaikAND
418 Q0 LA070190-0066  38  8.401610 z22shaikAND
418 Q0 LA120490-0091  39  8.385213 z22shaikAND
418 Q0 LA021989-0014  40  8.265367 z22shaikAND
418 Q0 LA120290-0197  41  8.256998 z22shaikAND
418 Q0 LA091689-0054  42  8.240312 z22shaikAND
418 Q0 LA121190-0054  43  8.240312 z22shaikAND
